id_steam	nom	date_sortie	genre	lien_image	emotions
413150	Stardew Valley	26 Feb, 2016	Indie, RPG, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/413150/header.jpg?t=1711128146	
1746030	Murders on the Yangtze River	30 Jan, 2024	Adventure, Indie, RPG	https://cdn.akamai.steamstatic.com/steam/apps/1746030/header.jpg?t=1710475184	
730	Counter-Strike 2	21 Aug, 2012	Action, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/730/header.jpg?t=1698860631	
2338770	NBA 2K24	7 Sep, 2023	Simulation, Sports	https://cdn.akamai.steamstatic.com/steam/apps/2338770/header.jpg?t=1708722504	
1150690	OMORI	25 Dec, 2020	Adventure, Indie, RPG	https://cdn.akamai.steamstatic.com/steam/apps/1150690/header.jpg?t=1671584768	
648800	Raft	20 Jun, 2022	Adventure, Indie, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/648800/header.jpg?t=1693638925	
2399830	ARK: Survival Ascended	25 Oct, 2023	Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/2399830/header_alt_assets_1.jpg?t=1711007433	
954850	Kerbal Space Program 2	24 Feb, 2023	Indie, Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/954850/header.jpg?t=1706744118	
2625620	Dealer Simulator	29 Jan, 2024	Casual, Indie, Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/2625620/header.jpg?t=1709321280	
1938010	WILD HEARTS™	16 Feb, 2023	Action, Adventure	https://cdn.akamai.steamstatic.com/steam/apps/1938010/header.jpg?t=1704990383	
227300	Euro Truck Simulator 2	12 Oct, 2012	Indie, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1707210696	
805550	Assetto Corsa Competizione	29 May, 2019	Racing, Simulation, Sports	https://cdn.akamai.steamstatic.com/steam/apps/805550/header.jpg?t=1706118895	
1180320	 War of the Three Kingdoms	17 Dec, 2021	Strategy, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/1180320/header.jpg?t=1710431556	
2357570	Overwatch® 2	10 Aug, 2023	Action, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/2357570/header.jpg?t=1710363488	
201510	Flatout 3: Chaos & Destruction	13 Dec, 2011	Racing	https://cdn.akamai.steamstatic.com/steam/apps/201510/header.jpg?t=1570212409	
553420	TUNIC	16 Mar, 2022	Action, Adventure, RPG	https://cdn.akamai.steamstatic.com/steam/apps/553420/header.jpg?t=1649107473	
282560	RollerCoaster Tycoon World™	16 Nov, 2016	Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/282560/header.jpg?t=1668118631	
1962663	Call of Duty®: Warzone™	16 Nov, 2022	Action, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/1962663/header.jpg?t=1707420578	
313010	Cities XXL	5 Feb, 2015	Simulation	https://cdn.akamai.steamstatic.com/steam/apps/313010/header.jpg?t=1650901879	
1244090	Sea of Stars	28 Aug, 2023	Adventure, Indie, RPG	https://cdn.akamai.steamstatic.com/steam/apps/1244090/header.jpg?t=1705943008	
892970	Valheim	2 Feb, 2021	Action, Adventure, Indie, RPG, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/892970/header.jpg?t=1708348390	
1158160	Coral Island	14 Nov, 2023	Adventure, Casual, Indie, RPG, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1158160/header.jpg?t=1711346562	
1235140	Yakuza: Like a Dragon	10 Nov, 2020	Action, Adventure, RPG	https://cdn.akamai.steamstatic.com/steam/apps/1235140/header.jpg?t=1695185659	
236510	Takedown: Red Sabre	10 Feb, 2014	Action, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/236510/header.jpg?t=1447357732	
1272080	PAYDAY 3	21 Sep, 2023	Action, Adventure, RPG	https://cdn.akamai.steamstatic.com/steam/apps/1272080/header.jpg?t=1709199731	
2484110	FINAL FANTASY VII EVER CRISIS	6 Dec, 2023	Adventure, RPG	https://cdn.akamai.steamstatic.com/steam/apps/2484110/header.jpg?t=1710779666	
202530	Sonic the Hedgehog 4 - Episode I	19 Jan, 2012		https://cdn.akamai.steamstatic.com/steam/apps/202530/header.jpg?t=1603129605	
2692400	Wartales, Pirates of Belerion	14 Dec, 2023	Adventure, Indie, RPG, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/2692400/header.jpg?t=1702564761	
1665460	eFootball™ 2024	29 Sep, 2021	Simulation, Sports, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/1665460/header.jpg?t=1711014249	
2430990	Their Land	6 Jun, 2023	Action, Adventure, Indie, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/2430990/header.jpg?t=1703019366	
1868140	DAVE THE DIVER	28 Jun, 2023	Adventure, Casual, RPG, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/1868140/header.jpg?t=1710988738	
375460	16bit Trader	4 Jun, 2015	Adventure, Casual, Indie, RPG, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/375460/header.jpg?t=1568792273	
1001270	Kebab Chefs! - Restaurant Simulator	19 Jan, 2024	Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/1001270/header.jpg?t=1711041559	
284160	BeamNG.drive	29 May, 2015	Racing, Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/284160/header.jpg?t=1709017559	
2252570	Football Manager 2024	6 Nov, 2023	Simulation, Sports, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/2252570/header.jpg?t=1702984758	
1401590	Disney Dreamlight Valley	Dec 5, 2023	Action, Adventure, Casual, RPG, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/1401590/header.jpg?t=1709135253	
766570	Russian Fishing 4	10 Nov, 2021	Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/766570/header.jpg?t=1707391071	
278970	Digger Online	2 Jun, 2015	Action, Adventure	https://cdn.akamai.steamstatic.com/steam/apps/278970/header.jpg?t=1690364798	
332500	GRAV	8 Jan, 2015	Action, Adventure, Indie, RPG, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/332500/header.jpg?t=1478820787	
695630	Chinese Paladin：Sword and Fairy	11 Oct, 2017	RPG	https://cdn.akamai.steamstatic.com/steam/apps/695630/header.jpg?t=1627366016	
